"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110"
"11",330,29,28,8,1,38,4,213,3,271,9,6,34,72,8,76,7,44,4,25,86,4,6,9,3,20,3,48,11,19,30,6,104,686,93,5,93,5,0,4,25,14,7,13,1,6,4,8,1,159,11,51,29,219,21,1,4,6,218,3,8,10,50,233,2,2,13,15,25,24,9,5,11,41,6,1,460,3,10,7,30,6,40,10,13,10,18,1,107,3,4,0,10,12,40,8,12,312,9,7,2,41,11,16,24,9,16,22,7,19
"12",279,20,21,7,4,59,15,217,2,223,10,5,17,85,9,103,3,46,4,19,97,3,2,0,5,17,2,32,12,8,34,2,85,779,90,7,78,0,2,2,39,16,14,9,3,3,3,9,3,178,7,64,38,184,15,5,8,9,157,0,7,6,47,225,3,1,9,6,31,30,7,7,6,21,12,2,496,3,22,8,13,5,22,13,2,13,4,9,137,3,3,4,14,17,56,12,9,352,16,9,10,45,9,0,16,4,21,29,8,27
"13",326,21,16,1,9,51,20,211,6,216,9,8,22,81,8,93,3,42,1,12,115,5,3,6,4,15,3,21,14,9,29,3,96,786,95,3,74,9,3,1,26,16,14,8,8,6,9,9,3,186,6,73,30,190,17,0,1,6,206,4,11,9,67,198,6,2,11,4,29,18,9,4,11,35,6,4,460,3,12,1,9,2,37,15,4,25,6,3,140,0,1,5,5,12,54,13,8,350,11,7,6,36,12,2,8,4,14,19,5,19
"14",286,8,18,3,4,69,12,242,2,236,10,1,12,79,13,110,4,59,3,11,123,8,13,11,4,26,4,25,15,16,26,3,97,774,80,5,82,11,0,15,29,13,11,4,6,5,0,17,6,181,4,56,15,175,19,5,1,3,181,4,9,12,36,259,3,3,9,8,30,26,10,6,12,23,5,6,444,3,9,6,4,1,38,9,1,6,10,12,136,4,5,8,6,15,29,11,3,350,22,22,0,35,5,5,19,0,20,23,5,22
"15",320,30,22,2,2,43,9,264,6,245,17,4,12,73,2,72,10,43,4,10,130,11,4,3,1,17,3,43,8,13,23,3,93,710,104,1,106,3,3,6,21,14,15,6,9,9,2,12,1,211,3,38,17,205,10,7,3,3,182,6,11,10,55,192,4,2,4,15,29,16,11,2,9,37,20,1,453,7,9,9,11,5,28,13,9,18,5,1,164,5,9,15,10,13,44,6,11,339,19,5,4,38,8,5,10,5,8,15,1,31
"16",339,19,19,4,1,45,9,215,4,192,5,15,10,68,11,113,5,36,5,19,116,8,4,9,5,13,4,38,8,11,20,1,71,775,110,1,65,9,2,9,37,13,31,11,4,9,0,6,3,208,2,57,36,141,25,6,4,7,215,0,7,7,36,232,5,9,7,11,27,18,18,5,5,42,9,8,450,6,7,0,18,4,61,7,16,7,14,3,134,0,6,6,4,2,54,9,11,352,18,0,0,27,8,3,9,3,29,22,16,20
"17",305,14,23,5,5,64,10,192,0,235,9,0,26,81,6,85,4,58,4,12,87,5,5,11,6,31,6,25,14,30,11,3,80,745,88,5,85,13,4,5,20,8,9,12,3,4,1,3,3,169,2,78,18,172,12,3,6,5,212,9,11,8,40,270,2,14,15,7,41,40,9,3,7,37,7,1,494,4,2,7,4,8,48,11,5,20,4,3,149,4,3,11,14,14,37,10,8,333,8,4,3,35,3,5,19,2,23,19,4,24
"18",291,27,22,8,6,64,14,252,6,228,7,5,18,83,1,89,3,60,2,18,95,12,2,2,1,8,3,28,26,17,15,7,114,707,87,2,69,7,1,10,26,10,16,7,5,1,3,4,4,200,0,64,20,163,17,0,3,1,169,7,12,7,54,222,1,9,13,12,26,24,5,7,11,41,6,6,443,7,9,9,11,3,38,16,6,17,15,0,141,4,3,5,7,11,59,14,13,377,23,13,6,46,8,6,14,3,34,9,13,24
"19",315,18,19,4,2,43,32,230,2,242,9,4,25,86,4,72,2,60,1,30,103,4,9,3,3,18,9,30,7,8,31,3,82,694,79,0,85,9,3,2,53,5,12,12,3,0,3,9,4,222,5,49,48,200,17,1,10,3,202,5,2,4,38,243,6,3,8,9,30,17,3,12,6,29,12,0,411,5,15,10,5,1,47,17,3,8,7,6,145,3,2,11,7,13,49,12,10,358,25,4,20,42,8,3,23,3,10,24,3,23
"20",301,34,20,15,6,68,13,229,3,207,8,4,17,68,11,105,1,66,4,17,99,16,4,8,9,16,5,28,11,13,10,1,89,840,90,3,67,7,3,13,30,10,14,9,4,9,0,7,2,193,2,45,30,218,24,2,6,9,199,0,6,2,41,214,3,4,3,15,36,23,23,3,12,29,22,3,373,11,7,5,7,7,44,17,8,14,2,8,116,13,6,3,1,8,46,16,15,299,22,8,7,47,6,3,15,2,24,17,3,39
"21",315,20,24,2,4,70,17,195,2,211,6,12,28,78,7,106,5,62,6,21,113,14,2,12,9,21,0,17,22,10,25,0,104,739,98,2,85,5,7,12,41,11,16,8,11,5,8,10,6,191,5,51,29,211,18,2,2,2,177,2,11,11,58,198,6,6,7,8,16,20,11,7,15,28,8,3,405,6,6,3,11,4,33,4,10,11,9,5,123,4,5,8,12,13,41,15,26,379,14,4,7,33,8,2,7,7,24,25,6,23
"22",316,18,16,1,0,37,15,235,6,213,12,11,25,92,2,89,6,60,3,17,109,17,2,2,1,10,7,40,25,8,24,6,76,771,90,5,81,7,6,4,38,11,8,6,6,2,2,9,3,179,16,48,37,229,23,2,1,5,228,2,9,11,53,201,7,0,14,5,31,15,7,1,13,47,9,4,383,0,5,15,10,2,30,10,8,22,5,11,128,5,5,4,3,16,37,9,9,335,11,12,8,52,5,6,14,8,15,13,17,40
"23",317,22,14,3,3,55,13,228,5,226,13,5,11,96,2,84,4,44,5,17,104,3,9,10,7,30,2,31,19,20,23,4,103,775,82,1,99,7,11,3,38,17,15,6,4,8,1,5,5,180,16,69,46,179,19,3,3,8,194,3,10,3,59,247,4,1,3,9,43,22,8,3,8,41,9,1,427,2,15,7,4,6,26,10,0,15,14,1,111,3,3,3,6,31,41,16,3,292,23,8,3,43,5,2,9,4,25,17,6,19
"24",273,16,23,0,0,38,14,211,10,232,4,7,16,82,12,109,4,53,5,20,112,9,6,8,3,11,6,54,12,12,16,6,95,782,80,4,60,14,1,3,44,16,8,17,12,7,7,9,3,206,5,52,53,195,21,1,4,3,224,9,6,2,38,227,5,4,8,12,27,42,15,9,8,45,8,5,361,4,11,6,4,4,44,12,13,10,6,3,153,6,1,4,4,8,48,9,11,323,20,9,8,34,7,4,20,2,15,25,9,22
"25",294,22,11,8,1,80,15,204,5,212,12,9,25,89,2,70,3,81,3,15,110,7,7,11,6,21,4,48,12,13,25,10,68,774,82,6,93,5,7,4,24,13,15,3,3,19,3,8,1,187,14,51,36,188,13,3,6,7,186,1,7,4,39,221,8,3,7,5,29,18,8,1,4,25,26,1,467,4,12,13,13,1,36,3,2,18,7,6,131,1,4,5,5,18,43,13,13,383,20,17,5,22,2,1,14,3,15,19,0,23
"26",299,30,19,1,0,41,15,156,7,238,7,8,27,66,7,82,3,47,7,6,102,6,2,8,10,15,4,37,9,6,19,5,105,790,116,5,92,14,5,8,36,8,13,7,3,10,3,9,0,212,8,38,43,175,24,9,9,7,189,14,19,7,46,257,8,1,10,6,21,17,13,9,11,21,12,9,416,6,5,4,8,5,28,29,9,12,4,1,164,10,5,8,5,5,41,16,8,352,14,12,5,41,5,3,12,2,22,11,5,19
"27",267,14,21,5,3,49,13,229,4,224,9,13,20,63,5,105,2,62,1,15,129,2,4,7,7,17,3,29,17,13,13,11,82,827,106,3,82,12,12,6,40,11,16,10,7,12,4,4,5,182,9,58,31,211,29,6,9,5,204,4,8,4,55,205,5,6,7,8,34,16,4,3,8,46,6,3,384,3,14,1,14,4,34,14,2,7,5,3,128,0,2,8,9,17,52,9,7,315,31,4,12,46,4,1,11,4,23,20,12,19
"28",316,20,17,4,5,38,22,196,3,217,14,6,22,81,2,114,3,40,4,15,109,7,1,2,3,15,2,30,8,3,28,15,87,770,88,5,70,5,1,6,41,16,13,10,2,4,3,8,3,224,3,84,34,221,28,4,11,6,195,7,9,7,34,200,6,2,8,8,23,23,6,6,1,38,5,7,406,1,12,5,15,2,50,19,2,25,7,3,148,10,0,1,11,15,52,11,17,316,9,2,5,57,6,3,9,4,22,26,7,28
"29",325,19,8,3,7,64,10,218,3,211,27,19,16,82,4,115,2,60,1,7,97,9,5,9,4,6,5,40,14,16,21,6,117,773,78,5,72,8,3,15,16,14,12,8,3,4,2,11,9,219,5,68,25,211,14,2,1,10,192,3,3,11,58,207,5,8,5,3,20,20,16,10,12,49,3,4,423,8,18,8,13,2,31,10,7,10,9,4,105,12,7,10,19,15,39,10,5,336,14,4,5,21,8,5,9,8,24,15,6,13
"30",293,37,21,8,7,68,13,169,10,182,10,10,28,69,4,87,6,64,1,23,92,8,10,6,4,11,2,44,13,13,17,2,96,702,92,2,66,3,1,7,34,14,14,3,10,3,0,22,6,200,2,61,25,198,16,2,11,6,211,0,8,5,54,241,4,0,5,3,28,31,9,8,9,39,10,10,435,2,6,8,10,5,25,15,3,10,4,12,160,2,5,13,20,18,38,10,10,380,12,15,9,60,6,14,15,11,26,16,3,19
"31",306,30,13,3,1,69,4,210,3,241,5,5,15,72,3,108,7,70,3,7,92,11,8,9,0,30,1,36,12,5,26,2,75,799,107,1,75,4,1,6,27,11,23,15,9,4,6,10,3,147,4,55,36,204,20,7,3,2,203,3,4,5,49,224,9,4,18,9,23,19,9,6,10,68,6,7,381,0,23,9,10,3,43,12,4,20,3,0,134,2,6,7,12,20,37,3,6,360,18,3,1,40,11,7,21,2,13,13,1,38
"32",328,18,21,6,2,50,18,239,0,232,13,10,25,74,11,105,2,85,4,13,107,8,2,2,4,21,5,38,14,10,22,7,96,797,92,0,71,15,0,3,38,9,11,6,4,2,6,18,2,159,3,55,26,191,13,3,2,6,200,3,10,6,60,238,7,6,2,4,27,19,13,1,2,28,11,1,423,4,6,7,9,5,35,19,5,16,2,4,132,8,2,4,10,3,27,8,7,334,11,11,3,38,17,5,9,2,21,32,4,15
"33",348,23,20,3,10,41,17,229,4,238,19,9,14,80,10,114,4,59,10,24,110,8,9,12,11,16,1,34,16,11,12,1,88,810,93,1,109,8,9,8,39,16,6,3,10,6,4,12,2,186,10,61,31,174,23,4,3,4,200,2,4,3,44,252,3,1,6,9,21,29,2,4,17,45,6,4,349,2,6,1,10,4,32,12,10,8,10,0,108,2,2,5,2,22,49,9,11,294,9,4,1,33,8,5,9,2,25,21,6,40
"34",332,21,16,4,0,30,11,210,3,265,13,8,31,72,5,75,7,57,6,16,90,12,4,6,3,17,2,37,17,4,24,7,93,723,97,3,92,1,3,8,27,7,13,8,5,10,4,19,4,203,4,72,36,211,17,3,11,2,198,5,6,8,57,220,7,0,7,8,26,28,15,6,16,38,10,2,452,8,8,14,6,1,43,13,1,12,3,4,144,8,2,7,8,14,24,10,8,313,5,11,10,41,14,1,16,1,25,14,7,14
"35",334,32,33,4,1,61,13,195,9,208,7,5,18,90,14,92,1,67,5,7,126,2,4,3,7,21,8,19,12,8,15,4,101,766,87,2,65,6,3,4,33,10,16,14,11,12,3,14,4,222,3,55,24,219,17,1,3,2,170,2,20,0,57,221,6,6,11,11,33,13,5,3,7,36,3,5,423,3,9,10,5,4,41,9,11,16,6,8,126,6,9,4,5,12,37,17,6,336,13,9,8,45,8,3,12,3,19,22,5,19
"36",336,17,18,1,1,43,5,180,2,256,18,15,24,93,9,105,1,64,8,6,127,11,4,11,3,20,5,43,15,3,25,5,83,676,82,7,66,5,3,5,36,18,15,13,3,8,4,14,2,171,5,59,34,219,13,3,6,6,196,1,12,3,47,248,5,8,12,5,26,22,10,3,9,28,8,2,466,0,13,4,7,7,32,16,6,8,2,2,138,3,3,5,2,10,54,17,3,349,23,3,12,37,6,3,20,4,18,23,3,26
"37",323,29,15,1,4,38,10,227,8,240,13,11,17,86,17,93,4,67,4,8,94,4,7,4,3,16,7,8,14,11,22,7,84,790,75,0,69,4,4,5,44,13,12,3,3,7,4,8,10,186,4,70,44,199,25,3,5,1,177,6,24,9,52,224,6,3,11,6,25,16,16,8,5,32,10,2,368,5,7,8,9,5,40,4,9,5,11,4,140,11,1,4,6,22,62,10,10,371,19,10,6,46,5,8,14,7,16,18,7,16
"38",333,8,36,4,2,48,16,222,2,233,11,12,25,74,3,88,0,39,3,8,125,6,13,4,3,11,2,26,16,7,20,12,101,783,93,5,60,6,2,5,47,21,15,8,4,2,2,11,4,172,9,50,30,230,14,1,12,3,156,2,16,9,65,256,4,5,6,9,33,18,4,7,3,23,10,7,406,5,29,1,8,3,37,18,8,12,5,0,154,0,6,3,7,8,43,17,7,342,16,3,3,44,2,0,15,6,18,14,6,19
"39",283,22,28,6,1,47,5,239,6,226,15,7,22,86,14,81,4,50,3,16,112,2,3,7,11,29,4,34,24,7,16,5,108,776,90,4,63,18,2,6,20,8,10,10,3,8,3,11,3,210,6,45,41,189,26,4,9,2,176,0,17,3,61,281,15,5,6,15,15,13,7,4,4,34,12,4,377,1,12,3,8,6,32,5,8,15,7,6,128,0,4,8,7,24,40,6,1,361,7,6,18,26,11,6,35,3,21,12,6,28
"40",306,26,17,4,4,52,14,226,4,221,12,4,24,76,10,127,6,38,10,20,97,12,4,11,7,13,3,40,12,2,26,9,78,784,97,3,56,6,8,4,11,10,16,8,4,6,6,8,3,189,7,45,26,225,22,9,3,2,159,1,18,0,42,255,11,6,7,15,37,19,6,8,12,31,12,1,449,1,12,5,21,5,49,11,1,14,4,3,125,3,3,11,6,17,31,14,4,316,8,7,12,40,8,3,27,3,22,15,8,29
"41",304,12,15,2,6,47,6,220,5,267,16,11,13,70,4,94,1,68,4,11,107,8,3,10,0,15,13,29,5,10,14,5,90,772,92,5,60,11,6,5,24,10,20,10,6,5,3,13,2,213,1,45,19,241,14,2,5,5,202,3,3,5,48,235,3,5,5,3,32,36,11,4,12,25,2,3,480,5,6,6,15,4,28,11,6,10,6,9,114,7,3,9,10,15,44,10,7,304,18,8,1,47,12,7,12,0,36,21,2,16
"42",314,23,19,2,7,63,10,220,2,242,4,7,23,103,6,111,1,56,6,7,87,7,6,11,5,11,3,23,8,11,17,4,71,751,83,5,78,10,7,2,30,15,13,8,7,9,2,7,1,194,1,68,39,188,19,1,2,8,222,1,10,13,36,261,3,1,6,17,33,42,8,7,13,49,5,4,392,6,11,7,16,4,52,16,1,1,12,4,124,5,1,9,15,9,47,10,7,316,12,3,8,43,17,5,14,9,13,23,2,17
"43",269,13,6,0,1,69,9,185,3,237,11,7,16,117,5,116,7,60,4,8,133,5,7,5,14,6,7,23,14,11,17,7,117,773,85,2,76,1,2,0,22,13,9,7,9,5,2,5,2,212,4,67,33,187,25,4,10,11,193,5,14,3,37,219,4,1,6,19,41,26,7,9,6,46,5,1,395,4,5,3,6,5,37,24,3,7,10,6,138,6,6,7,5,13,55,21,5,323,7,6,7,55,9,8,21,0,25,21,7,33
"44",304,18,36,5,2,42,11,225,8,228,12,18,17,71,3,99,4,50,3,21,117,2,6,6,10,11,6,29,6,15,25,9,70,760,84,0,90,12,0,5,28,15,8,10,3,6,14,4,1,176,3,56,39,202,14,3,6,8,247,0,20,2,64,250,11,3,11,10,29,16,11,5,12,24,6,3,413,2,12,0,14,2,25,8,8,9,9,2,104,1,7,4,6,15,30,5,14,348,18,9,8,61,5,2,20,1,23,25,8,22
"45",311,13,13,2,8,75,12,203,9,201,5,6,25,73,0,89,3,56,2,20,105,7,3,7,3,23,0,40,10,8,14,2,82,776,94,3,108,2,7,3,44,12,15,25,2,4,2,14,3,169,3,58,25,219,18,2,4,10,178,2,10,5,48,235,5,0,7,7,21,21,11,1,10,26,6,7,488,6,6,11,14,8,43,10,1,9,9,3,112,10,1,6,11,16,39,10,14,335,8,13,5,44,8,3,9,19,21,22,7,27
"46",322,19,17,5,2,85,11,199,4,239,18,14,33,89,2,92,2,61,6,7,86,16,5,4,6,20,4,42,26,4,13,5,89,739,83,3,80,2,5,1,24,9,12,9,9,1,3,6,3,196,12,70,33,186,14,3,6,5,198,4,5,3,66,230,4,6,9,4,23,11,6,3,4,26,13,3,485,0,11,5,11,2,36,9,9,13,1,5,108,8,3,4,10,20,26,11,6,363,7,4,8,49,8,2,20,4,20,15,7,31
"47",318,23,13,1,1,69,19,218,1,241,10,5,14,75,9,97,2,83,3,14,114,9,1,5,12,16,5,43,17,8,37,11,76,703,78,3,85,5,8,3,52,18,26,9,4,2,2,7,3,151,11,78,36,193,15,8,2,4,211,5,11,4,39,245,4,4,8,11,31,17,5,10,8,32,14,6,389,4,14,10,15,12,25,20,7,7,5,5,114,3,5,3,4,19,65,22,17,330,12,8,2,32,7,14,14,2,30,22,4,17
"48",300,17,32,4,7,51,11,217,4,264,23,2,20,89,2,82,10,44,6,21,91,3,2,8,3,25,5,33,14,7,19,4,86,793,88,8,76,6,5,4,24,7,18,8,6,7,5,14,7,226,11,77,24,190,18,3,6,5,194,2,16,7,49,248,2,3,8,6,16,37,16,0,10,19,6,1,395,0,6,2,11,5,35,11,3,12,3,6,128,8,4,3,4,14,25,9,7,353,12,8,6,48,2,6,8,3,15,23,16,27
"49",317,16,21,2,2,33,11,240,2,257,18,4,17,73,3,79,2,59,9,17,116,4,4,8,1,12,8,40,18,10,23,4,66,764,109,2,74,13,7,5,34,10,15,19,5,6,4,3,12,207,5,63,30,205,16,10,8,4,198,9,10,5,58,217,13,5,9,8,22,25,5,1,4,36,15,3,427,4,9,10,9,3,25,10,3,10,5,2,136,5,5,16,6,15,38,22,10,323,12,11,10,33,4,4,15,5,11,14,6,13
"50",350,14,35,0,2,29,14,194,6,239,6,4,18,87,6,105,2,66,4,12,96,2,0,5,7,14,9,42,19,11,17,8,60,750,99,4,99,15,5,0,31,10,18,12,5,5,1,5,5,173,6,74,41,202,33,3,3,1,203,1,10,4,56,233,9,2,6,7,23,19,11,4,11,43,1,4,388,3,7,12,5,10,37,3,8,8,16,8,136,8,0,8,6,10,37,14,16,349,11,13,10,41,12,4,18,2,22,18,4,26
"51",317,15,37,0,4,60,21,228,2,194,2,4,15,73,3,99,3,41,2,13,135,6,1,8,5,26,3,31,9,17,20,11,103,799,96,4,71,0,8,2,39,18,14,8,13,4,12,9,1,184,4,72,29,193,23,3,3,6,194,6,20,13,35,249,5,3,2,6,19,14,9,5,10,39,8,0,414,3,16,5,16,2,25,8,2,4,6,7,129,6,3,4,8,4,33,9,22,321,18,2,10,44,22,2,16,4,26,17,11,21
"52",317,34,22,9,5,48,15,199,5,223,8,3,13,74,6,97,11,52,4,9,112,9,10,3,5,20,5,39,11,14,18,8,86,805,84,5,70,6,0,12,53,8,9,13,6,6,3,5,3,213,0,59,33,206,22,7,2,1,205,1,18,5,44,206,9,2,20,8,23,13,18,7,11,26,7,4,392,4,7,5,10,3,32,6,6,8,5,5,138,6,2,8,6,32,48,13,7,332,21,10,3,42,10,13,12,2,20,14,4,22
"53",282,21,26,1,0,60,8,201,1,251,23,4,16,76,4,104,6,67,7,5,140,3,2,0,2,13,2,28,13,6,18,10,114,803,97,6,78,7,1,2,22,10,10,5,8,5,3,9,2,160,11,55,21,184,19,2,2,6,213,3,3,8,49,203,3,5,4,11,22,21,7,6,5,35,4,0,443,3,11,9,7,4,61,18,8,16,5,7,127,15,5,3,2,28,61,12,10,341,7,9,10,49,13,1,12,0,21,15,4,19
"54",367,29,22,7,1,56,11,225,4,207,16,5,24,69,7,86,6,63,6,26,93,6,6,9,3,25,1,50,12,13,27,3,73,781,83,7,90,2,6,3,43,7,15,3,8,5,6,4,2,200,4,57,26,215,26,1,2,1,185,0,9,16,48,272,6,2,10,4,26,25,13,6,8,31,17,4,398,5,6,6,6,1,24,9,5,8,4,5,139,1,8,6,4,20,35,20,6,309,11,11,4,28,7,3,15,3,14,11,5,26
"55",330,12,24,2,3,41,35,188,5,211,18,15,11,88,11,95,1,51,5,25,122,4,2,10,3,12,4,34,3,4,18,3,106,763,85,4,96,12,5,8,28,18,17,18,8,3,2,10,1,212,5,65,25,192,21,3,4,1,234,4,16,3,60,216,8,3,7,8,22,31,7,5,15,32,11,4,432,8,4,4,9,2,41,14,7,11,2,1,110,0,3,0,6,23,27,7,8,334,11,8,3,34,4,2,20,0,32,18,6,21
"56",317,19,20,9,1,64,12,200,5,173,11,2,15,78,2,109,9,82,5,11,89,7,7,7,8,22,2,35,18,4,22,13,101,726,80,6,92,10,8,11,15,10,22,17,4,10,6,9,1,148,3,44,32,241,28,0,0,8,152,2,6,8,57,212,6,6,12,11,36,30,16,3,12,46,8,1,430,4,10,7,2,0,31,13,0,3,3,5,178,5,6,4,4,24,37,22,10,348,18,14,6,46,9,3,17,6,44,18,10,29
"57",341,19,15,1,1,41,12,229,8,229,13,6,12,104,12,93,3,68,0,10,118,5,5,8,2,8,6,27,8,8,24,6,94,693,100,1,72,9,8,6,32,15,7,8,6,4,7,4,7,170,4,43,38,203,11,1,5,4,210,1,13,4,50,204,10,1,5,11,34,26,15,5,17,20,12,1,478,10,3,6,4,4,43,12,5,14,2,8,155,6,1,6,5,8,63,13,14,349,12,7,7,42,6,2,13,6,23,10,7,23
"58",323,19,31,4,3,51,15,202,4,206,7,10,12,78,6,74,7,70,3,18,117,6,16,8,0,20,1,28,14,18,36,5,92,770,77,3,57,9,1,3,31,25,15,1,5,4,3,6,7,163,4,55,31,209,17,4,1,4,199,0,10,4,52,234,5,0,10,19,41,30,16,5,11,29,4,2,453,13,14,13,12,4,24,5,3,2,2,2,134,8,5,3,6,23,34,10,16,331,14,12,2,36,7,6,16,8,33,30,10,29
"59",333,13,20,4,3,46,8,241,3,217,20,7,13,82,6,98,5,85,7,15,122,9,2,7,5,18,7,31,22,6,13,7,80,713,112,6,78,9,3,9,24,13,16,8,10,5,4,5,0,143,8,45,30,190,13,4,5,4,205,10,10,3,59,231,5,5,2,11,31,26,3,5,11,19,10,7,455,1,14,8,7,2,43,8,6,14,9,4,156,8,7,9,7,17,55,20,21,311,11,14,2,22,12,9,18,2,17,15,14,17
