"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"16",5,6,21,12,8,2,4,9,0,4,7,103,11,6,7,3,4,2,0,2299,12,4,2,1,3,31,26,2,11,8,20,4,194,4,6,81,1952,2,6,13,9,49,1,3,2,6,12,10,7,6
"17",1,5,19,9,5,11,8,4,2,5,10,73,12,4,5,1,4,10,5,2219,5,5,5,2,6,37,25,4,14,1,24,2,191,3,4,90,2048,8,5,19,8,37,4,7,5,2,11,12,3,1
"18",1,3,28,9,4,14,2,9,2,0,11,58,16,1,7,3,5,4,1,2374,7,5,9,3,2,31,54,5,7,3,17,6,198,3,3,87,1899,2,1,22,7,45,1,8,2,4,4,6,7,0
"19",3,4,23,2,8,6,6,3,2,4,13,88,24,4,13,5,5,7,1,2252,1,4,13,0,9,27,17,5,13,0,24,6,194,2,2,110,1983,1,4,15,13,53,1,6,1,0,12,4,4,3
"20",4,9,24,18,7,1,5,7,4,3,16,67,18,10,6,3,4,2,8,2261,5,6,15,0,3,21,39,6,10,4,17,3,193,4,2,122,1972,1,4,19,5,39,6,9,3,3,4,2,6,0
"21",3,8,27,11,10,7,1,13,1,7,4,84,12,5,2,4,2,3,3,2183,3,1,11,8,4,29,24,3,12,3,19,13,190,1,7,90,2072,5,8,24,8,36,1,14,1,4,10,8,1,0
"22",4,2,28,7,7,3,12,1,0,2,10,71,20,9,5,1,6,2,0,2293,5,2,7,4,10,18,24,8,15,3,23,6,221,3,2,75,1942,4,2,16,6,47,5,13,3,7,24,14,7,1
"23",3,8,20,7,9,3,5,7,3,3,13,56,11,6,3,6,1,6,2,2252,4,4,8,2,3,17,43,7,12,4,22,7,222,3,1,97,1992,10,6,18,17,36,1,13,3,7,11,3,3,0
"24",3,2,27,8,4,3,6,6,2,2,11,75,9,2,10,8,4,5,1,2284,7,2,11,1,5,25,31,7,12,4,27,4,184,1,2,85,1975,8,3,25,11,47,2,14,8,5,6,5,8,3
"25",0,5,29,17,7,1,6,3,10,8,7,75,20,0,7,0,3,1,10,2292,4,5,11,0,8,23,30,5,14,5,21,7,194,4,6,94,1954,1,3,22,17,35,4,8,2,1,3,12,0,6
"26",2,2,27,22,9,3,9,4,4,2,6,69,22,4,6,0,8,1,4,2285,1,13,5,5,3,25,29,3,6,9,41,3,206,4,1,91,1944,0,1,24,10,45,3,4,2,1,15,4,8,5
"27",3,1,29,17,16,4,7,5,5,4,9,88,10,10,8,1,2,3,0,2278,2,0,7,1,4,26,22,1,23,15,31,9,229,2,2,91,1939,1,1,16,13,36,6,7,2,1,5,3,5,0
"28",1,6,31,13,9,1,6,9,1,4,6,78,11,6,9,4,8,5,1,2311,9,5,11,2,4,33,45,5,8,3,28,7,174,6,7,78,1947,2,6,11,13,39,2,7,5,6,2,6,2,7
"29",2,5,28,11,9,3,7,5,3,0,2,86,12,12,3,4,3,3,2,2278,4,9,4,3,4,32,29,4,6,6,19,8,178,4,2,117,1979,1,4,16,14,45,3,12,5,2,6,5,0,1
"30",3,6,18,12,8,1,9,5,5,2,5,78,15,5,5,0,4,1,8,2283,0,2,11,1,7,19,34,6,13,15,33,4,197,0,2,82,1981,2,6,17,3,49,2,6,3,1,12,10,5,4
"31",0,6,47,7,6,6,6,7,4,6,3,79,21,6,5,6,10,5,1,2345,3,5,8,3,1,20,30,6,7,3,18,5,185,3,1,83,1939,0,5,14,19,30,3,9,1,2,4,6,5,6
"32",0,8,30,8,7,9,2,7,2,7,9,71,13,0,7,1,3,3,3,2296,12,1,11,14,8,27,36,2,3,5,34,4,193,4,6,85,1970,0,8,13,8,30,2,10,2,5,16,2,1,2
"33",8,5,21,13,8,1,0,1,7,3,12,57,11,17,7,0,7,2,2,2376,5,5,8,8,3,15,32,2,14,3,15,2,183,1,5,81,1960,3,6,8,4,42,2,4,2,5,7,5,7,5
"34",4,2,25,18,6,5,12,5,0,4,9,49,5,12,10,5,6,7,1,2306,6,6,16,4,5,27,38,5,12,3,25,4,193,1,2,103,1943,1,2,17,4,46,4,8,1,2,10,16,3,2
"35",0,6,28,11,9,10,3,6,2,5,6,74,25,9,5,6,2,6,4,2391,6,4,8,0,4,33,33,5,6,6,21,4,165,1,7,74,1918,0,6,12,7,28,3,10,3,1,9,7,9,2
"36",0,5,31,5,10,2,8,7,6,4,5,62,13,3,1,3,8,4,1,2315,1,4,13,5,3,18,32,3,3,5,25,6,204,2,6,84,1979,2,2,19,7,42,7,9,2,2,8,7,6,1
"37",2,7,24,15,5,5,8,2,3,3,9,73,18,5,4,11,4,3,4,2261,2,5,5,1,6,21,46,7,7,8,13,3,213,4,2,97,1957,5,2,23,20,47,3,5,5,4,10,4,6,3
"38",6,7,30,13,13,5,4,6,4,3,9,92,18,5,3,3,5,6,3,2308,4,3,9,7,3,34,22,3,4,4,21,8,229,6,6,108,1874,3,7,21,5,34,5,9,1,4,7,14,0,2
"39",3,6,51,13,12,6,3,3,2,3,9,78,14,7,11,5,6,0,2,2198,5,4,4,5,3,30,36,3,17,5,36,8,163,3,8,93,2011,4,2,19,11,53,4,9,15,1,6,6,4,0
"40",4,17,24,7,10,8,4,1,7,5,7,72,12,4,6,2,5,3,2,2330,6,2,8,4,4,23,19,6,12,7,22,6,207,3,3,81,1936,3,1,22,10,48,2,9,7,2,5,5,5,2
"41",6,6,37,8,9,5,13,3,8,1,12,62,5,6,1,1,16,3,11,2240,3,5,18,1,8,21,51,1,7,11,22,3,202,2,7,87,1967,1,7,22,11,51,4,11,7,3,5,4,4,1
"42",5,2,46,10,0,2,8,6,1,5,4,74,25,3,1,1,13,10,0,2279,3,4,10,0,5,37,47,6,13,8,28,4,202,1,6,87,1925,1,2,13,18,44,0,8,6,4,8,3,6,6
"43",2,5,30,7,12,2,2,3,5,4,8,80,19,11,3,5,4,4,2,2201,11,5,12,2,4,20,40,2,12,6,29,4,201,1,4,115,2001,3,3,16,5,43,6,3,2,5,14,11,3,8
"44",4,4,25,8,14,5,9,5,4,5,11,78,8,3,4,1,10,4,2,2258,1,4,17,3,3,41,42,6,12,2,19,2,189,0,3,87,1990,1,7,14,11,44,4,5,3,5,6,12,2,3
"45",0,14,25,3,13,3,5,7,1,1,14,78,12,4,7,3,0,2,1,2241,4,4,9,1,4,35,36,6,11,6,29,3,180,4,7,106,1983,6,3,31,5,40,3,14,2,4,4,10,14,2
"46",1,7,18,5,18,0,6,6,4,3,2,73,13,4,7,4,2,6,2,2221,7,6,9,1,1,23,20,6,10,4,31,10,178,3,3,71,2075,3,0,19,15,40,8,10,9,6,9,10,10,1
"47",4,9,21,19,21,0,8,9,3,5,23,65,12,11,1,5,2,2,4,2323,4,4,13,1,2,25,34,6,17,4,24,8,174,2,8,97,1924,1,4,15,7,38,2,11,2,3,5,5,7,6
"48",2,4,27,9,11,2,11,2,0,1,8,88,6,9,3,3,7,2,0,2223,3,1,4,3,1,24,22,7,12,5,13,6,227,2,6,98,2046,2,2,15,7,44,2,3,2,2,10,8,4,1
"49",0,2,26,11,8,5,10,4,3,5,14,60,8,5,2,5,4,2,1,2247,2,2,7,2,5,34,37,4,9,9,19,5,179,2,0,83,2067,1,1,15,2,37,3,3,12,9,5,12,9,3
"50",3,4,21,16,1,9,8,2,3,0,6,72,15,7,6,5,8,7,4,2300,4,4,4,2,7,26,34,2,8,4,32,4,149,2,1,93,1985,4,7,27,19,52,5,14,1,2,6,3,1,1
"51",5,2,35,9,6,6,10,3,0,7,9,60,20,1,2,2,3,8,7,2303,7,1,12,4,5,24,30,5,9,4,9,7,213,0,2,116,1906,8,4,32,17,30,4,11,4,1,15,5,15,2
"52",0,4,37,13,11,1,12,6,6,1,3,69,10,6,6,5,6,3,5,2220,2,7,19,2,5,31,33,0,20,6,16,11,198,0,5,104,1981,0,1,22,19,47,6,7,2,4,13,4,7,4
"53",2,8,34,10,14,6,7,6,2,3,13,70,9,2,6,2,6,5,5,2090,3,7,12,7,2,33,46,2,17,13,33,5,218,1,4,112,2062,2,4,25,10,31,5,8,4,1,8,19,4,2
"54",0,8,36,12,6,4,9,7,8,6,7,81,12,9,6,0,1,1,5,2297,2,9,8,6,3,30,43,7,17,5,16,1,175,1,7,95,1932,1,7,16,10,54,2,2,2,1,10,5,12,6
"55",0,11,19,8,3,2,5,2,2,7,5,60,11,2,3,4,1,4,2,2329,5,2,5,6,8,19,29,6,8,4,15,2,196,7,2,102,1998,2,8,16,11,44,1,6,6,1,5,1,4,1
"56",7,2,29,11,13,4,8,6,3,3,10,69,3,3,6,4,1,12,3,2343,10,4,4,2,1,19,23,2,7,4,25,4,184,5,2,110,1917,3,4,32,10,46,5,15,3,1,8,2,2,6
"57",0,5,35,14,8,0,7,3,3,3,10,63,16,9,5,3,6,2,5,2349,5,8,8,0,5,34,27,2,8,7,20,9,178,3,2,83,1942,1,3,13,4,53,4,10,2,3,6,9,4,1
"58",6,4,32,8,13,2,12,7,3,0,8,62,16,6,14,3,3,1,5,2311,4,5,8,5,7,24,29,4,11,7,16,3,190,1,1,95,1952,2,7,23,4,46,4,9,2,7,6,3,8,1
"59",0,3,38,7,9,6,7,7,3,6,16,59,14,5,10,4,6,3,0,2212,8,5,12,3,2,39,42,3,13,10,16,4,213,0,3,92,2002,5,0,12,8,49,2,4,3,2,18,9,4,2
"60",3,4,29,16,14,3,3,7,2,4,9,91,12,4,7,1,4,1,4,2192,5,10,13,1,2,22,39,3,13,5,23,1,198,2,4,91,2026,1,3,29,7,48,9,7,6,3,10,6,3,0
"61",0,10,53,22,13,2,4,3,3,2,6,64,11,8,5,3,5,0,1,2331,1,5,11,1,6,39,28,7,19,3,23,4,195,5,2,84,1900,4,4,25,13,41,2,9,2,2,6,7,1,5
"62",3,8,26,5,9,4,6,2,1,5,5,74,11,15,4,3,5,5,0,2262,3,4,12,2,1,25,36,7,14,3,26,6,222,3,1,94,1966,0,3,24,12,48,1,8,1,1,12,3,6,3
"63",1,4,35,12,9,8,4,2,5,1,3,72,13,6,3,4,8,1,6,2261,5,2,14,4,1,43,42,7,11,6,24,6,227,2,6,92,1924,3,5,18,23,31,5,4,3,2,7,8,9,8
"64",2,4,22,12,7,1,2,5,4,4,6,69,15,5,4,5,4,7,2,2204,3,5,9,4,3,32,29,2,9,9,34,7,197,0,4,74,2067,3,4,20,9,45,3,9,6,3,15,2,2,7
"65",2,2,29,17,13,2,8,4,8,4,8,68,9,7,11,6,11,5,2,2219,5,4,10,3,1,28,23,0,11,1,30,8,197,5,4,97,2045,2,3,16,3,38,0,6,2,4,11,5,3,0
"66",3,5,34,9,9,2,1,6,2,4,13,74,13,2,7,2,5,6,1,2253,5,7,5,2,7,16,27,2,13,4,32,9,200,1,1,97,2006,1,1,17,9,41,5,4,0,3,14,11,7,2
"67",1,3,20,5,13,0,5,5,5,4,8,78,10,6,9,2,12,1,8,2246,7,5,12,5,6,25,34,4,14,5,41,1,174,6,3,91,2014,3,6,16,8,38,1,10,2,3,8,14,3,0
"68",0,7,34,7,13,2,4,5,5,3,10,61,14,2,4,5,5,4,0,2232,3,4,10,5,4,27,32,1,12,3,20,5,187,3,4,84,2055,1,2,17,5,52,3,8,5,4,12,6,7,2
"69",1,11,21,18,9,6,8,1,8,5,12,82,22,6,6,2,10,3,0,2240,6,3,12,0,9,28,24,7,22,8,22,16,228,1,3,103,1916,4,8,18,9,40,5,3,5,4,11,6,3,5
"70",6,2,30,7,19,6,3,4,1,4,5,59,15,8,2,2,6,0,4,2310,3,2,9,5,3,24,39,8,7,6,17,3,238,1,5,74,1941,0,7,23,15,38,3,10,3,0,6,8,6,3
"71",2,9,49,10,1,1,8,2,4,1,4,107,12,2,4,5,5,3,2,2337,3,6,7,2,1,19,17,4,7,8,35,3,207,6,4,96,1873,1,2,12,10,42,0,8,4,4,24,16,6,5
"72",3,7,27,7,9,1,8,6,4,1,6,66,16,6,3,6,4,5,2,2224,7,2,10,1,2,32,17,4,19,6,29,8,230,0,1,95,2000,8,5,21,10,39,0,14,3,5,13,2,2,4
"73",2,6,24,10,11,1,7,7,5,0,8,77,13,6,10,3,7,1,6,2339,6,3,5,1,9,27,17,4,7,12,14,5,188,8,3,98,1923,5,4,21,14,39,1,8,6,5,12,5,5,2
"74",1,5,30,13,8,3,13,7,4,2,6,75,18,10,4,4,0,1,4,2224,6,4,12,2,2,30,29,4,3,5,22,6,195,4,2,106,1998,3,6,19,16,50,1,6,6,1,17,8,4,1
"75",2,5,27,13,2,2,14,3,5,1,11,60,25,3,6,3,1,3,1,2292,4,2,5,0,4,32,25,8,10,3,20,6,182,1,7,92,1999,2,2,31,7,42,2,6,0,5,10,5,7,2
"76",4,5,40,10,9,3,17,7,3,1,13,63,15,9,9,1,14,6,2,2345,6,2,12,4,5,19,27,4,9,3,24,8,199,4,10,80,1911,0,3,8,8,48,3,4,6,1,8,6,2,0
"77",1,9,44,9,15,5,3,6,4,0,14,68,13,4,10,3,10,9,1,2275,2,5,2,3,5,51,40,7,16,1,17,7,205,4,2,84,1926,3,3,20,4,41,3,12,5,3,7,8,3,8
"78",1,4,31,16,18,4,6,4,6,8,13,67,14,9,9,5,2,5,2,2277,6,8,8,3,4,20,41,1,7,6,14,6,226,0,5,56,1984,0,5,18,4,39,1,6,5,3,7,7,4,5
"79",1,6,34,16,9,6,5,8,4,7,6,67,19,4,6,2,14,6,0,2350,13,2,9,3,8,34,25,13,7,15,23,6,205,7,4,91,1851,5,1,20,5,54,1,4,5,4,9,4,2,0
"80",3,4,23,10,14,5,5,8,2,3,15,69,15,4,17,2,7,4,5,2327,1,1,9,2,6,26,31,3,9,4,26,2,174,0,1,107,1959,3,5,17,13,28,1,3,5,1,7,6,5,3
"81",6,8,45,12,4,1,10,2,7,3,4,65,16,5,5,0,10,9,1,2299,5,2,10,3,3,24,28,12,7,5,25,1,208,2,1,80,1960,0,3,19,7,46,0,3,2,3,8,10,10,1
"82",4,6,37,16,5,1,4,5,2,3,4,79,11,4,8,5,4,2,3,2360,8,1,11,2,6,29,37,3,7,9,32,1,184,11,2,102,1868,10,4,22,12,45,2,1,3,1,8,7,8,1
"83",1,6,25,9,25,0,6,6,4,4,9,65,8,7,2,0,8,6,4,2265,7,8,9,5,6,28,29,5,10,7,11,1,207,3,6,86,2002,1,2,17,4,38,1,8,11,1,17,6,3,1
"84",3,4,32,14,14,2,10,6,2,5,9,70,7,4,6,11,4,5,1,2290,8,8,19,3,4,36,35,5,4,2,19,4,184,1,6,101,1940,4,6,30,9,33,6,7,6,3,7,6,2,3
"85",0,4,17,18,6,2,6,3,5,2,3,73,14,8,8,2,3,6,3,2324,9,2,12,2,7,19,31,9,7,7,17,8,194,3,2,96,1969,7,2,9,14,31,4,8,4,0,8,5,4,3
"86",1,6,29,13,7,7,6,1,4,3,11,83,19,5,1,7,14,6,0,2201,0,2,7,0,4,43,34,6,5,5,26,1,190,5,1,101,2022,0,2,11,10,52,2,5,0,5,19,5,12,1
"87",3,7,32,7,11,6,4,4,0,4,6,84,18,5,6,1,8,5,0,2347,3,7,11,3,1,32,28,3,17,3,17,2,180,4,6,90,1932,3,4,13,5,45,0,10,4,3,8,6,1,1
"88",1,9,28,7,25,4,1,6,4,0,10,66,28,5,9,4,3,3,1,2337,1,1,9,4,2,18,23,5,9,5,32,3,227,3,2,85,1897,5,6,21,7,47,1,3,8,4,7,8,4,2
"89",0,5,23,12,9,1,3,8,2,1,10,99,21,6,7,1,7,6,2,2279,9,4,12,3,5,43,31,1,16,4,25,9,208,3,0,66,1943,9,1,11,3,50,4,7,5,3,6,8,9,0
"90",1,7,32,13,10,0,13,10,6,3,10,71,26,13,6,5,4,2,1,2326,6,5,5,2,2,29,30,7,9,7,20,3,205,2,5,89,1883,8,6,24,7,48,1,4,5,5,11,7,5,1
"91",2,5,34,9,11,0,4,4,7,9,4,87,20,5,10,3,4,1,1,2251,9,2,5,0,1,36,55,9,18,7,20,2,203,1,3,94,1938,0,5,20,22,43,0,7,5,1,7,10,4,2
"92",0,4,18,13,9,6,6,4,8,5,8,71,13,9,7,3,9,3,0,2385,3,5,19,5,5,27,19,5,11,8,22,3,185,2,2,80,1923,1,1,15,6,41,1,9,2,3,6,3,3,4
"93",1,6,22,7,7,2,6,7,4,3,13,78,10,11,2,3,8,2,2,2220,7,5,10,4,3,26,37,9,16,5,21,6,212,5,7,90,2014,3,2,15,8,40,6,6,6,0,5,4,11,3
"94",3,5,21,7,5,1,9,1,4,5,5,78,16,4,3,3,4,3,1,2378,4,8,7,4,3,20,33,9,7,5,17,3,212,3,3,62,1936,2,3,11,16,30,3,6,5,3,18,2,5,4
"95",1,4,27,10,17,5,9,5,1,3,6,56,15,4,4,0,0,4,1,2255,2,2,8,1,7,31,29,3,13,2,12,3,216,3,3,75,2037,3,1,28,9,47,1,12,4,3,6,6,4,2
"96",3,8,20,15,2,8,7,6,1,2,8,67,13,4,10,5,6,1,5,2286,5,6,13,2,2,27,20,7,6,12,22,3,203,3,5,96,1989,3,2,10,5,49,0,6,4,2,11,2,7,1
"97",6,9,26,4,14,1,11,3,0,4,5,77,15,4,9,4,4,3,2,2240,5,3,7,2,4,46,25,13,11,8,17,0,195,0,8,100,2002,4,1,21,11,35,7,7,4,3,8,5,7,0
"98",1,2,29,8,10,0,5,8,5,6,11,84,10,6,2,2,4,2,2,2261,1,8,6,5,2,31,27,11,11,2,17,3,196,1,4,85,2024,2,4,16,9,31,5,12,5,1,17,3,3,0
"99",2,4,18,17,3,6,2,6,3,4,4,80,14,2,7,4,4,6,8,2216,4,5,1,5,2,34,29,5,18,6,25,1,225,6,1,78,2012,1,6,21,4,56,5,4,8,2,7,6,11,2
"100",1,4,29,9,11,0,6,10,3,2,6,67,18,9,7,2,5,7,4,2304,11,7,8,2,3,26,28,2,8,8,26,3,215,9,6,87,1945,1,6,20,6,41,1,4,3,3,3,2,5,7
"101",2,1,32,13,17,6,7,3,8,3,7,72,14,6,2,3,7,3,3,2282,3,0,23,1,3,33,24,5,10,4,19,2,174,3,0,104,1974,8,3,20,9,49,2,5,0,4,8,10,5,4
"102",3,4,35,14,8,0,18,3,6,0,5,84,9,11,4,5,5,6,0,2286,10,2,10,2,5,33,35,3,6,6,19,2,192,2,3,108,1930,1,2,22,8,40,6,6,1,6,17,10,6,1
"103",4,6,21,11,13,7,8,7,6,6,8,67,9,4,6,3,7,3,7,2339,2,5,9,0,5,31,36,8,12,1,24,4,183,12,3,78,1926,2,2,18,14,42,3,10,3,0,10,13,1,1
"104",0,3,28,6,12,5,6,3,5,1,7,68,4,5,3,6,2,1,0,2323,4,9,9,7,3,27,26,4,10,2,21,5,192,5,1,96,1982,3,2,13,4,43,6,7,6,3,8,4,3,7
"105",2,9,25,10,12,5,8,8,3,0,6,62,13,5,6,4,4,2,2,2310,1,4,15,0,2,24,44,8,5,9,33,4,226,5,3,92,1928,1,12,15,1,35,0,6,0,1,15,9,5,1
"106",1,1,30,6,6,3,3,3,7,0,8,69,11,3,6,3,9,7,1,2230,2,5,15,0,3,35,32,3,7,9,16,3,228,2,7,88,2008,5,2,18,15,48,0,8,6,5,15,4,3,1
"107",2,8,38,9,16,0,11,5,2,9,13,69,10,11,5,7,3,2,4,2204,2,4,15,0,4,24,32,9,5,3,20,3,237,10,1,108,1976,9,4,15,12,38,4,14,1,1,2,5,11,3
"108",1,4,26,17,19,0,1,5,7,5,10,61,26,1,12,3,9,4,3,2275,5,4,11,1,3,27,32,5,9,4,17,4,201,1,9,91,1979,2,5,18,14,40,1,7,1,4,6,6,2,2
"109",0,4,21,8,13,4,8,10,3,2,8,84,22,6,10,1,4,1,0,2264,10,5,19,1,4,33,27,11,17,2,34,11,158,6,4,107,1974,3,8,13,11,33,2,8,3,3,8,10,1,1
"110",3,5,31,12,8,0,3,9,7,4,6,73,8,4,1,4,8,5,1,2268,3,5,6,0,0,44,38,5,11,9,29,4,195,2,7,90,1981,3,3,16,5,44,2,6,5,4,11,7,3,2
"111",3,7,31,8,7,5,5,7,3,5,13,67,14,6,4,2,4,2,0,2263,6,8,7,1,3,31,42,5,15,12,25,5,212,1,2,77,1977,1,6,19,6,38,1,8,11,7,4,8,6,0
"112",2,2,33,10,7,1,7,5,2,3,11,69,13,3,7,0,3,4,2,2288,7,5,15,4,7,30,41,8,13,6,24,4,160,1,4,117,1977,1,1,24,6,36,1,12,3,0,8,7,5,1
"113",6,1,22,8,14,2,7,6,3,1,12,44,9,4,7,1,6,5,2,2328,9,4,14,4,8,35,22,6,10,6,13,3,198,2,4,95,1949,8,5,15,5,35,11,13,5,7,9,5,7,5
"114",0,6,34,4,8,1,5,1,2,6,11,61,16,8,8,6,5,9,2,2275,4,9,15,2,6,25,43,4,3,4,10,3,184,3,2,85,1988,1,3,17,18,52,0,16,1,3,12,10,5,4
"115",2,7,29,17,9,1,3,12,9,8,9,73,14,5,5,2,10,6,7,2259,2,11,10,2,8,22,22,5,5,16,12,3,200,5,8,97,1980,2,6,9,9,31,4,12,1,2,11,7,5,6
"116",5,1,32,15,8,4,4,4,7,2,8,72,7,7,10,4,4,2,3,2271,10,2,7,2,2,18,30,8,13,6,19,8,201,1,4,82,1999,2,2,15,9,49,4,10,7,1,8,3,4,4
"117",3,6,23,10,12,0,5,4,5,3,11,79,15,10,4,2,11,4,1,2271,1,5,14,1,4,28,29,2,5,4,26,5,192,4,4,84,1973,4,7,8,10,59,2,14,3,3,22,2,4,2
"118",1,8,25,14,10,14,9,7,3,3,8,94,16,5,6,1,1,3,0,2261,2,4,9,1,1,16,26,4,8,18,22,5,178,3,2,76,2024,0,4,13,8,43,5,6,3,1,10,12,5,2
"119",0,4,31,9,14,1,8,5,7,2,12,80,14,6,11,1,9,3,3,2299,1,4,12,0,4,41,27,5,12,4,27,2,188,4,5,102,1920,4,4,13,9,43,1,5,6,4,10,15,8,1
"120",7,5,42,11,5,3,10,4,4,4,8,89,11,4,3,4,3,1,2,2286,5,4,7,3,6,21,32,2,14,4,17,8,215,6,8,99,1936,1,2,18,7,48,3,3,3,0,4,4,12,2
"121",5,8,22,20,6,6,4,3,3,4,11,83,11,6,6,4,7,7,3,2234,2,2,7,2,6,19,32,1,6,5,25,0,173,3,4,94,2043,5,9,8,14,44,2,9,5,1,16,4,4,2
"122",2,3,27,12,12,6,10,8,4,4,11,60,18,13,4,8,8,6,2,2226,2,4,12,4,2,39,24,4,19,4,16,2,203,4,5,92,2015,3,2,13,4,40,2,13,4,1,8,6,4,5
"123",3,10,27,10,8,2,11,11,3,3,9,79,21,2,15,3,5,4,3,2147,3,4,12,4,9,34,27,6,7,4,20,7,194,10,10,113,2049,8,5,19,6,39,1,8,2,0,7,2,9,5
"124",4,8,25,12,8,1,17,8,11,4,11,69,13,4,1,4,7,4,1,2211,1,2,8,2,1,27,41,5,8,2,23,4,199,12,4,99,2043,2,4,19,7,46,1,3,1,0,10,2,0,1
"125",3,3,29,15,6,2,3,2,3,1,6,62,11,4,7,2,9,9,1,2204,3,10,8,5,2,24,42,8,13,7,20,5,221,4,6,85,2014,8,7,23,11,37,4,7,6,2,12,16,6,2
"126",4,9,24,11,7,6,6,4,2,0,6,74,23,8,1,4,6,4,9,2268,10,6,3,3,4,14,30,1,12,4,14,8,178,4,9,90,2004,4,3,21,7,57,1,12,1,2,3,9,5,5
"127",2,3,33,17,4,3,3,3,3,3,9,66,9,4,3,4,0,5,1,2239,1,7,21,2,4,51,49,2,11,5,25,6,183,2,1,81,1963,13,3,26,11,67,4,13,6,2,10,11,4,2
"128",3,0,23,16,6,2,2,4,0,5,7,76,13,3,8,3,4,2,1,2318,9,8,10,3,5,29,23,7,8,2,23,8,209,0,3,103,1909,7,12,23,7,40,10,12,4,5,11,8,4,2
"129",1,3,13,9,3,3,9,4,6,1,7,73,16,6,15,2,3,5,2,2191,8,3,10,1,5,28,28,4,7,9,33,2,184,3,4,99,2058,12,2,18,11,46,4,18,6,3,9,3,5,5
"130",5,1,25,17,19,2,5,3,3,3,9,87,16,2,10,4,6,6,2,2237,4,5,9,2,7,29,34,0,2,5,28,9,200,3,4,111,1976,2,0,11,10,44,1,17,1,1,13,4,4,2
